EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
929	106	106.0
930	194	194.0
931	166	166.0
932	141	141.0
933	117	117.0
934	178	178.0
935	182	182.0
936	156	156.0
937	173	173.0
938	114	114.0
939	137	137.0
940	131	131.0
941	156	156.0
942	57	57.0
943	136	136.0
944	152	152.0
945	200	200.0
946	120	120.0
947	91	91.0
948	160	160.0
949	200	200.0
950	200	200.0
951	98	98.0
952	135	135.0
953	137	137.0
954	97	97.0
955	144	144.0
956	200	200.0
957	102	102.0
958	184	184.0
959	200	200.0
960	141	141.0
961	153	153.0
962	164	164.0
963	130	130.0
964	156	156.0
965	200	200.0
966	143	143.0
967	150	150.0
968	196	196.0
969	121	121.0
970	200	200.0
971	118	118.0
972	165	165.0
973	121	121.0
974	200	200.0
975	152	152.0
976	200	200.0
977	192	192.0
978	83	83.0
979	153	153.0
980	106	106.0
981	113	113.0
982	171	171.0
983	172	172.0
984	130	130.0
985	133	133.0
986	189	189.0
987	140	140.0
988	135	135.0
989	154	154.0
990	136	136.0
991	133	133.0
992	150	150.0
993	175	175.0
994	165	165.0
995	200	200.0
996	149	149.0
997	100	100.0
998	189	189.0
999	125	125.0
1000	105	105.0
1001	138	138.0
1002	90	90.0
1003	111	111.0
1004	77	77.0
1005	200	200.0
1006	125	125.0
1007	129	129.0
1008	69	69.0
1009	119	119.0
1010	117	117.0
1011	171	171.0
1012	123	123.0
1013	121	121.0
1014	133	133.0
1015	200	200.0
1016	117	117.0
1017	149	149.0
1018	195	195.0
1019	143	143.0
1020	200	200.0
1021	162	162.0
1022	65	65.0
1023	122	122.0
1024	116	116.0
1025	156	156.0
1026	133	133.0
1027	108	108.0
1028	105	105.0
1029	120	120.0
1030	114	114.0
1031	191	191.0
1032	200	200.0
1033	146	146.0
1034	200	200.0
1035	177	177.0
1036	200	200.0
1037	137	137.0
1038	122	122.0
1039	156	156.0
1040	200	200.0
1041	166	166.0
1042	200	200.0
1043	116	116.0
1044	200	200.0
1045	136	136.0
1046	200	200.0
1047	200	200.0
1048	200	200.0
1049	149	149.0
1050	200	200.0
1051	189	189.0
1052	200	200.0
1053	127	127.0
1054	167	167.0
1055	200	200.0
1056	137	137.0
1057	200	200.0
1058	187	187.0
1059	112	112.0
1060	136	136.0
1061	200	200.0
1062	159	159.0
1063	200	200.0
1064	172	172.0
1065	179	179.0
1066	177	177.0
1067	200	200.0
1068	174	174.0
1069	200	200.0
1070	200	200.0
1071	200	200.0
1072	200	200.0
1073	200	200.0
1074	157	157.0
1075	200	200.0
1076	200	200.0
1077	200	200.0
1078	173	173.0
1079	186	186.0
1080	200	200.0
1081	189	189.0
1082	147	147.0
1083	138	138.0
1084	120	120.0
1085	116	116.0
1086	132	132.0
1087	137	137.0
1088	171	171.0
1089	156	156.0
1090	151	151.0
1091	137	137.0
1092	144	144.0
1093	135	135.0
1094	149	149.0
1095	166	166.0
1096	200	200.0
1097	200	200.0
1098	176	176.0
1099	155	155.0
1100	161	161.0
1101	171	171.0
1102	141	141.0
1103	161	161.0
1104	125	125.0
1105	147	147.0
1106	163	163.0
1107	178	178.0
1108	125	125.0
1109	116	116.0
1110	105	105.0
1111	97	97.0
1112	115	115.0
1113	81	81.0
1114	119	119.0
1115	80	80.0
1116	61	61.0
1117	92	92.0
1118	94	94.0
1119	89	89.0
1120	74	74.0
1121	76	76.0
1122	124	124.0
1123	158	158.0
1124	124	124.0
1125	84	84.0
1126	132	132.0
1127	100	100.0
1128	93	93.0
1129	95	95.0
1130	85	85.0
1131	127	127.0
1132	56	56.0
1133	83	83.0
1134	85	85.0
1135	41	41.0
1136	40	40.0
1137	86	86.0
1138	133	133.0
1139	36	36.0
1140	46	46.0
1141	82	82.0
1142	109	109.0
1143	92	92.0
1144	88	88.0
1145	119	119.0
1146	85	85.0
1147	114	114.0
1148	62	62.0
1149	55	55.0
1150	142	142.0
1151	45	45.0
1152	133	133.0
1153	111	111.0
1154	88	88.0
1155	111	111.0
1156	136	136.0
1157	136	136.0
1158	39	39.0
1159	116	116.0
1160	128	128.0
1161	113	113.0
1162	54	54.0
1163	103	103.0
1164	69	69.0
1165	115	115.0
1166	129	129.0
1167	111	111.0
1168	110	110.0
1169	112	112.0
1170	97	97.0
1171	66	66.0
1172	46	46.0
1173	74	74.0
1174	78	78.0
1175	74	74.0
1176	122	122.0
1177	64	64.0
1178	63	63.0
1179	46	46.0
1180	71	71.0
1181	67	67.0
1182	122	122.0
1183	130	130.0
1184	105	105.0
1185	135	135.0
1186	134	134.0
1187	112	112.0
1188	153	153.0
1189	99	99.0
1190	106	106.0
1191	139	139.0
1192	129	129.0
1193	116	116.0
1194	179	179.0
1195	108	108.0
1196	126	126.0
1197	64	64.0
1198	107	107.0
1199	149	149.0
1200	119	119.0
1201	129	129.0
1202	156	156.0
1203	200	200.0
1204	200	200.0
1205	144	144.0
1206	200	200.0
1207	200	200.0
1208	128	128.0
1209	200	200.0
1210	200	200.0
1211	200	200.0
1212	200	200.0
1213	200	200.0
1214	200	200.0
1215	200	200.0
1216	200	200.0
1217	200	200.0
1218	200	200.0
1219	128	128.0
1220	200	200.0
1221	173	173.0
1222	200	200.0
1223	200	200.0
1224	135	135.0
1225	200	200.0
1226	200	200.0
1227	112	112.0
1228	191	191.0
1229	154	154.0
1230	200	200.0
1231	158	158.0
1232	200	200.0
1233	200	200.0
1234	200	200.0
1235	200	200.0
1236	153	153.0
1237	136	136.0
1238	129	129.0
1239	118	118.0
1240	107	107.0
1241	99	99.0
1242	200	200.0
1243	169	169.0
1244	112	112.0
1245	105	105.0
1246	198	198.0
1247	200	200.0
1248	115	115.0
1249	200	200.0
1250	178	178.0
1251	133	133.0
1252	107	107.0
1253	183	183.0
1254	109	109.0
1255	106	106.0
1256	129	129.0
1257	101	101.0
1258	127	127.0
1259	30	30.0
1260	115	115.0
1261	126	126.0
1262	35	35.0
1263	106	106.0
1264	122	122.0
1265	136	136.0
1266	110	110.0
1267	32	32.0
1268	114	114.0
1269	54	54.0
1270	58	58.0
1271	138	138.0
1272	33	33.0
1273	117	117.0
1274	136	136.0
1275	45	45.0
1276	62	62.0
1277	38	38.0
1278	51	51.0
1279	51	51.0
1280	39	39.0
1281	117	117.0
1282	37	37.0
1283	33	33.0
1284	37	37.0
1285	113	113.0
1286	116	116.0
