EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
849	47	47.0
850	121	121.0
851	164	164.0
852	42	42.0
853	181	181.0
854	200	200.0
855	196	196.0
856	200	200.0
857	159	159.0
858	142	142.0
859	173	173.0
860	106	106.0
861	25	25.0
862	87	87.0
863	96	96.0
864	169	169.0
865	120	120.0
866	61	61.0
867	29	29.0
868	46	46.0
869	24	24.0
870	64	64.0
871	37	37.0
872	86	86.0
873	63	63.0
874	104	104.0
875	139	139.0
876	95	95.0
877	123	123.0
878	114	114.0
879	200	200.0
880	200	200.0
881	200	200.0
882	58	58.0
883	152	152.0
884	103	103.0
885	77	77.0
886	14	14.0
887	28	28.0
888	143	143.0
889	149	149.0
890	98	98.0
891	129	129.0
892	120	120.0
893	159	159.0
894	153	153.0
895	172	172.0
896	142	142.0
897	118	118.0
898	138	138.0
899	46	46.0
900	101	101.0
901	118	118.0
902	94	94.0
903	140	140.0
904	109	109.0
905	189	189.0
906	200	200.0
907	155	155.0
908	135	135.0
909	135	135.0
910	133	133.0
911	180	180.0
912	200	200.0
913	200	200.0
914	200	200.0
915	200	200.0
916	200	200.0
917	152	152.0
918	160	160.0
919	200	200.0
920	200	200.0
921	200	200.0
922	171	171.0
923	147	147.0
924	148	148.0
925	190	190.0
926	188	188.0
927	200	200.0
928	200	200.0
929	187	187.0
930	200	200.0
931	200	200.0
932	200	200.0
933	200	200.0
934	180	180.0
935	200	200.0
936	112	112.0
937	105	105.0
938	131	131.0
939	198	198.0
940	188	188.0
941	178	178.0
942	164	164.0
943	173	173.0
944	179	179.0
945	117	117.0
946	137	137.0
947	158	158.0
948	149	149.0
949	135	135.0
950	163	163.0
951	11	11.0
952	148	148.0
953	200	200.0
954	127	127.0
955	104	104.0
956	109	109.0
957	110	110.0
958	180	180.0
959	194	194.0
960	200	200.0
961	200	200.0
962	158	158.0
963	34	34.0
964	26	26.0
965	125	125.0
966	137	137.0
967	24	24.0
968	178	178.0
969	184	184.0
