TIME_STEP	STAGE	EPSILON	ACTION	REWARD	Qs_PREDICTED_EXAMPLE	Qs_TARGET_EXAMPLE	Loss
55000	TRAINING	0.000100000000002	0	1.0	[ 16.93778419  17.14133263]	[ 17.18419933  17.14133263]	3.03773
55500	TRAINING	0.000100000000002	0	1.0	[ 22.3056469  21.8261528]	[ 22.10542612  21.8261528 ]	0.516384
56000	TRAINING	0.000100000000002	0	1.0	[ 21.76683807  21.9026413 ]	[ 21.79098577  21.9026413 ]	1.09133
56500	TRAINING	0.000100000000002	0	1.0	[ 18.15935707  17.81074524]	[ 18.19431362  17.81074524]	0.0220425
57000	TRAINING	0.000100000000002	1	1.0	[ 19.80598831  19.82199478]	[ 19.80598831  19.87602425]	0.595483
57500	TRAINING	0.000100000000002	1	1.0	[ 20.91558456  20.6289978 ]	[ 20.82856102  20.6289978 ]	0.0309421
58000	TRAINING	0.000100000000002	0	1.0	[ 37.97568512  37.44167709]	[ 36.60395927  37.44167709]	0.315203
58500	TRAINING	0.000100000000002	1	1.0	[ 20.39271927  20.3591156 ]	[ 20.39271927  20.32070074]	0.0452463
59000	TRAINING	0.000100000000002	0	1.0	[ 22.57606506  22.63290405]	[ 22.9286128   22.63290405]	0.0937711
59500	TRAINING	0.000100000000002	1	1.0	[ 20.97007561  21.24668503]	[ 20.97007561  21.2529542 ]	0.0615874
60000	TRAINING	0.000100000000002	1	1.0	[ 22.08184433  21.97895813]	[ 21.99979305  21.97895813]	0.0414033
60500	TRAINING	0.000100000000002	0	1.0	[ 11.54188156  11.71216011]	[ 11.54188156  11.91294851]	0.726744
61000	TRAINING	0.000100000000002	1	1.0	[ 20.83167267  20.9006176 ]	[ 20.83167267  20.26095972]	0.0830668
61500	TRAINING	0.000100000000002	1	1.0	[ 21.88755417  23.04598045]	[ 22.00496807  23.04598045]	2.82584
62000	TRAINING	0.000100000000002	0	1.0	[ 13.90577698  13.20380878]	[ 13.86889343  13.20380878]	0.0756391
62500	TRAINING	0.000100000000002	1	1.0	[ 22.60097313  22.48111153]	[ 22.60097313  22.57659559]	0.090587
63000	TRAINING	0.000100000000002	0	1.0	[ 18.23718071  19.30715179]	[ 18.23718071  19.55198584]	0.0710792
63500	TRAINING	0.000100000000002	0	1.0	[ 21.5987072   21.85950851]	[ 21.70393639  21.85950851]	0.0583858
64000	TRAINING	0.000100000000002	1	1.0	[ 21.17871666  21.39771652]	[ 21.17871666  21.00221224]	0.186833
64500	TRAINING	0.000100000000002	0	1.0	[ 17.84238815  17.15960312]	[ 18.3015358   17.15960312]	0.0228324
65000	TRAINING	0.000100000000002	0	1.0	[ 19.65566635  19.19106102]	[ 19.63063126  19.19106102]	0.533004
65500	TRAINING	0.000100000000002	1	1.0	[ 21.10020447  21.3792057 ]	[ 21.10020447  21.2843214 ]	0.0248752
66000	TRAINING	0.000100000000002	1	1.0	[ 7.27098942  7.69987011]	[ 7.71117203  7.69987011]	0.0241296
66500	TRAINING	0.000100000000002	1	1.0	[ 22.94021797  22.99328423]	[ 23.03783903  22.99328423]	2.32575
67000	TRAINING	0.000100000000002	1	1.0	[ 22.32749367  22.40122795]	[ 22.32749367  22.23166685]	0.0543601
67500	TRAINING	0.000100000000002	0	1.0	[ 19.27975273  18.31305695]	[ 19.39881907  18.31305695]	0.113652
68000	TRAINING	0.000100000000002	1	1.0	[ 22.14954185  22.15269661]	[ 21.78062668  22.15269661]	0.0393643
68500	TRAINING	0.000100000000002	1	1.0	[ 21.60160255  21.76246834]	[ 21.60160255  21.61881676]	0.037479
69000	TRAINING	0.000100000000002	1	1.0	[ 21.53464508  21.52949333]	[ 21.48611631  21.52949333]	0.502046
69500	TRAINING	0.000100000000002	1	1.0	[ 20.14425468  20.05177116]	[ 19.88395891  20.05177116]	0.0346989
70000	TRAINING	0.000100000000002	1	1.0	[ 21.86434937  24.12529945]	[ 21.86434937  24.36137171]	1.03041
70500	TRAINING	0.000100000000002	0	1.0	[ 19.28619194  19.56756783]	[ 20.20107374  19.56756783]	0.101549
71000	TRAINING	0.000100000000002	1	1.0	[ 23.43370438  22.36268806]	[ 23.0376071   22.36268806]	2.07789
71500	TRAINING	0.000100000000002	0	1.0	[ 22.1377697   21.15643501]	[ 22.96005611  21.15643501]	0.0686601
72000	TRAINING	0.000100000000002	1	1.0	[ 22.41100121  21.52891541]	[ 22.41100121  22.07528381]	0.0567888
72500	TRAINING	0.000100000000002	0	1.0	[ 20.90107536  20.9451313 ]	[ 20.76483545  20.9451313 ]	0.246358
73000	TRAINING	0.000100000000002	1	1.0	[ 19.84685898  19.65783691]	[ 19.84685898  19.93011551]	0.11974
73500	TRAINING	0.000100000000002	0	1.0	[ 14.18298721  14.62348747]	[ 14.18298721  14.78872848]	0.0267751
74000	TRAINING	0.000100000000002	1	1.0	[ 24.30570412  24.11697769]	[ 24.30570412  24.12963018]	0.421818
74500	TRAINING	0.000100000000002	1	1.0	[ 20.7013607   21.09997368]	[ 21.16762438  21.09997368]	0.164085
75000	TRAINING	0.000100000000002	1	1.0	[ 21.61623573  21.63247299]	[ 21.35208588  21.63247299]	0.215005
75500	TRAINING	0.000100000000002	1	1.0	[ 20.77156448  20.63018799]	[ 20.47284374  20.63018799]	0.0278471
76000	TRAINING	0.000100000000002	0	1.0	[ 26.66702843  26.54452515]	[ 26.1271039   26.54452515]	0.117425
76500	TRAINING	0.000100000000002	0	1.0	[ 20.68240929  18.85371399]	[ 20.90823202  18.85371399]	0.206483
77000	TRAINING	0.000100000000002	0	1.0	[ 21.22204399  21.63858414]	[ 21.53971109  21.63858414]	0.41032
77500	TRAINING	0.000100000000002	0	1.0	[ 21.73337364  21.33811378]	[ 21.57095146  21.33811378]	0.283355
78000	TRAINING	0.000100000000002	0	1.0	[ 12.4441576   13.18011761]	[ 13.15213618  13.18011761]	0.0360971
78500	TRAINING	0.000100000000002	1	1.0	[ 19.91147041  20.09415245]	[ 19.91147041  20.35217667]	0.0409636
79000	TRAINING	0.000100000000002	0	1.0	[ 21.46306229  21.82771301]	[ 21.46306229  21.91066713]	0.876624
79500	TRAINING	0.000100000000002	0	1.0	[ 20.78652573  20.96170044]	[ 20.78652573  20.88023872]	0.0270532
80000	TRAINING	0.000100000000002	0	1.0	[ 12.98980331  12.87058735]	[ 12.92802582  12.87058735]	0.921738
80500	TRAINING	0.000100000000002	0	1.0	[ 19.98309898  20.03835869]	[ 20.23051481  20.03835869]	0.214536
81000	TRAINING	0.000100000000002	0	1.0	[ 20.51113129  20.52411079]	[ 20.56652136  20.52411079]	0.0182376
