EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
608	200.0	200
609	200.0	200
610	154.0	154
611	161.0	161
612	163.0	163
613	151.0	151
614	134.0	134
615	153.0	153
616	147.0	147
617	125.0	125
618	91.0	91
619	200.0	200
620	171.0	171
621	200.0	200
622	189.0	189
623	200.0	200
624	200.0	200
625	166.0	166
626	166.0	166
627	200.0	200
628	200.0	200
629	200.0	200
630	200.0	200
631	200.0	200
632	200.0	200
633	200.0	200
634	200.0	200
635	200.0	200
636	200.0	200
637	200.0	200
638	200.0	200
639	200.0	200
640	200.0	200
641	200.0	200
642	200.0	200
643	200.0	200
644	156.0	156
645	200.0	200
646	200.0	200
647	200.0	200
648	186.0	186
649	200.0	200
650	200.0	200
651	200.0	200
652	200.0	200
653	169.0	169
654	77.0	77
655	200.0	200
656	200.0	200
657	200.0	200
658	200.0	200
659	200.0	200
660	200.0	200
661	200.0	200
662	79.0	79
663	23.0	23
664	11.0	11
665	10.0	10
666	24.0	24
667	10.0	10
668	9.0	9
669	10.0	10
670	9.0	9
671	112.0	112
672	200.0	200
673	200.0	200
674	200.0	200
675	200.0	200
676	200.0	200
677	155.0	155
678	200.0	200
679	132.0	132
680	139.0	139
681	125.0	125
682	150.0	150
683	115.0	115
684	128.0	128
685	156.0	156
686	196.0	196
687	173.0	173
688	179.0	179
689	188.0	188
690	195.0	195
691	49.0	49
692	65.0	65
693	160.0	160
694	152.0	152
695	174.0	174
696	177.0	177
697	200.0	200
698	200.0	200
699	200.0	200
700	200.0	200
701	200.0	200
702	149.0	149
703	200.0	200
704	155.0	155
705	200.0	200
706	19.0	19
707	16.0	16
708	55.0	55
709	19.0	19
710	8.0	8
711	8.0	8
712	10.0	10
713	9.0	9
714	200.0	200
715	200.0	200
716	200.0	200
717	200.0	200
718	200.0	200
719	200.0	200
720	200.0	200
721	200.0	200
722	200.0	200
723	200.0	200
724	200.0	200
725	200.0	200
726	200.0	200
727	200.0	200
728	200.0	200
729	200.0	200
730	200.0	200
731	200.0	200
732	200.0	200
733	200.0	200
734	200.0	200
735	200.0	200
736	200.0	200
737	200.0	200
738	200.0	200
739	200.0	200
740	94.0	94
741	200.0	200
742	200.0	200
743	200.0	200
744	200.0	200
745	42.0	42
746	11.0	11
747	9.0	9
748	9.0	9
749	9.0	9
750	117.0	117
751	200.0	200
752	200.0	200
753	200.0	200
754	200.0	200
755	200.0	200
756	200.0	200
757	200.0	200
758	150.0	150
759	200.0	200
760	151.0	151
761	200.0	200
762	184.0	184
763	107.0	107
764	16.0	16
765	130.0	130
766	200.0	200
767	200.0	200
768	200.0	200
769	200.0	200
770	200.0	200
771	200.0	200
772	200.0	200
773	200.0	200
774	200.0	200
775	200.0	200
776	200.0	200
777	200.0	200
778	200.0	200
779	200.0	200
780	200.0	200
781	200.0	200
782	200.0	200
783	200.0	200
784	200.0	200
785	200.0	200
786	200.0	200
787	200.0	200
788	200.0	200
789	200.0	200
790	200.0	200
791	200.0	200
792	200.0	200
793	200.0	200
794	200.0	200
795	200.0	200
796	200.0	200
797	199.0	199
798	165.0	165
799	200.0	200
800	200.0	200
801	200.0	200
802	200.0	200
803	200.0	200
804	195.0	195
805	200.0	200
806	200.0	200
807	200.0	200
808	10.0	10
809	9.0	9
810	9.0	9
811	10.0	10
812	22.0	22
813	8.0	8
814	200.0	200
815	200.0	200
816	200.0	200
817	200.0	200
818	200.0	200
819	200.0	200
820	176.0	176
821	200.0	200
822	200.0	200
823	200.0	200
824	200.0	200
825	196.0	196
826	162.0	162
827	95.0	95
828	11.0	11
829	10.0	10
830	200.0	200
831	178.0	178
832	170.0	170
833	163.0	163
834	143.0	143
835	200.0	200
836	200.0	200
837	200.0	200
838	167.0	167
839	200.0	200
840	163.0	163
841	174.0	174
842	162.0	162
843	200.0	200
844	188.0	188
845	200.0	200
846	200.0	200
847	147.0	147
848	153.0	153
849	79.0	79
850	143.0	143
851	150.0	150
852	167.0	167
853	194.0	194
854	147.0	147
855	182.0	182
856	158.0	158
857	200.0	200
858	35.0	35
859	131.0	131
860	186.0	186
861	200.0	200
862	200.0	200
863	200.0	200
864	200.0	200
865	200.0	200
866	200.0	200
867	200.0	200
868	200.0	200
869	200.0	200
870	200.0	200
871	200.0	200
872	200.0	200
873	200.0	200
874	158.0	158
875	167.0	167
876	200.0	200
877	163.0	163
878	169.0	169
879	9.0	9
880	9.0	9
881	10.0	10
882	10.0	10
883	9.0	9
884	10.0	10
885	10.0	10
886	200.0	200
887	200.0	200
888	200.0	200
889	200.0	200
890	200.0	200
891	200.0	200
892	123.0	123
893	106.0	106
894	154.0	154
895	124.0	124
896	117.0	117
897	122.0	122
898	175.0	175
899	180.0	180
900	117.0	117
901	118.0	118
902	136.0	136
903	169.0	169
904	200.0	200
905	146.0	146
906	147.0	147
907	127.0	127
908	136.0	136
909	130.0	130
