EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
1195	11.0	11
1196	9.0	9
1197	8.0	8
1198	10.0	10
1199	10.0	10
1200	9.0	9
1201	9.0	9
1202	9.0	9
1203	10.0	10
1204	10.0	10
1205	9.0	9
1206	10.0	10
1207	8.0	8
1208	9.0	9
1209	10.0	10
1210	10.0	10
1211	9.0	9
1212	10.0	10
1213	10.0	10
1214	9.0	9
1215	10.0	10
1216	10.0	10
1217	9.0	9
1218	9.0	9
1219	10.0	10
1220	10.0	10
1221	11.0	11
1222	10.0	10
1223	11.0	11
1224	10.0	10
1225	9.0	9
1226	10.0	10
1227	8.0	8
1228	10.0	10
1229	10.0	10
1230	10.0	10
1231	10.0	10
1232	9.0	9
1233	9.0	9
1234	10.0	10
1235	11.0	11
1236	9.0	9
1237	10.0	10
1238	10.0	10
1239	10.0	10
1240	10.0	10
1241	9.0	9
1242	10.0	10
1243	9.0	9
1244	9.0	9
1245	10.0	10
1246	9.0	9
1247	12.0	12
1248	8.0	8
1249	11.0	11
1250	10.0	10
1251	10.0	10
1252	10.0	10
1253	10.0	10
1254	9.0	9
1255	8.0	8
1256	9.0	9
1257	8.0	8
1258	10.0	10
1259	10.0	10
1260	10.0	10
1261	10.0	10
1262	9.0	9
1263	10.0	10
1264	9.0	9
1265	9.0	9
1266	8.0	8
1267	9.0	9
1268	9.0	9
1269	10.0	10
1270	10.0	10
1271	10.0	10
1272	9.0	9
1273	10.0	10
1274	9.0	9
1275	10.0	10
1276	9.0	9
1277	9.0	9
1278	9.0	9
1279	11.0	11
1280	8.0	8
1281	10.0	10
1282	10.0	10
1283	8.0	8
1284	10.0	10
1285	10.0	10
1286	10.0	10
1287	12.0	12
1288	11.0	11
1289	10.0	10
1290	9.0	9
1291	10.0	10
1292	10.0	10
1293	9.0	9
1294	8.0	8
1295	10.0	10
1296	9.0	9
1297	10.0	10
1298	11.0	11
1299	10.0	10
1300	10.0	10
1301	9.0	9
1302	10.0	10
1303	10.0	10
1304	10.0	10
1305	10.0	10
1306	8.0	8
1307	10.0	10
1308	10.0	10
1309	9.0	9
1310	9.0	9
1311	10.0	10
1312	9.0	9
1313	10.0	10
1314	9.0	9
1315	10.0	10
1316	10.0	10
1317	10.0	10
1318	8.0	8
1319	10.0	10
1320	9.0	9
1321	10.0	10
1322	9.0	9
1323	9.0	9
1324	10.0	10
1325	9.0	9
1326	10.0	10
1327	9.0	9
1328	10.0	10
1329	10.0	10
1330	10.0	10
1331	8.0	8
1332	10.0	10
1333	10.0	10
1334	9.0	9
1335	8.0	8
1336	9.0	9
1337	9.0	9
1338	8.0	8
1339	10.0	10
1340	10.0	10
1341	11.0	11
1342	10.0	10
1343	10.0	10
1344	9.0	9
1345	10.0	10
1346	10.0	10
1347	10.0	10
1348	11.0	11
1349	10.0	10
1350	9.0	9
1351	10.0	10
1352	9.0	9
1353	10.0	10
1354	10.0	10
1355	11.0	11
1356	8.0	8
1357	9.0	9
1358	9.0	9
1359	9.0	9
1360	10.0	10
1361	10.0	10
1362	8.0	8
1363	8.0	8
1364	9.0	9
1365	9.0	9
1366	9.0	9
1367	8.0	8
1368	9.0	9
1369	9.0	9
1370	8.0	8
1371	9.0	9
1372	8.0	8
1373	10.0	10
1374	10.0	10
1375	9.0	9
1376	9.0	9
1377	9.0	9
1378	10.0	10
1379	9.0	9
1380	9.0	9
1381	10.0	10
1382	10.0	10
1383	9.0	9
1384	9.0	9
1385	9.0	9
1386	9.0	9
1387	10.0	10
1388	8.0	8
1389	10.0	10
1390	10.0	10
1391	8.0	8
1392	11.0	11
1393	8.0	8
1394	9.0	9
1395	10.0	10
1396	9.0	9
1397	9.0	9
1398	8.0	8
1399	10.0	10
1400	11.0	11
1401	10.0	10
1402	10.0	10
1403	9.0	9
1404	9.0	9
1405	10.0	10
1406	10.0	10
1407	10.0	10
1408	10.0	10
1409	10.0	10
1410	8.0	8
1411	10.0	10
1412	10.0	10
1413	10.0	10
1414	9.0	9
1415	9.0	9
1416	11.0	11
1417	10.0	10
1418	8.0	8
1419	8.0	8
1420	10.0	10
1421	11.0	11
1422	10.0	10
1423	10.0	10
1424	9.0	9
1425	9.0	9
1426	10.0	10
1427	9.0	9
1428	9.0	9
1429	8.0	8
1430	10.0	10
1431	11.0	11
1432	9.0	9
1433	11.0	11
1434	9.0	9
1435	9.0	9
1436	10.0	10
1437	10.0	10
1438	10.0	10
1439	9.0	9
1440	10.0	10
1441	9.0	9
1442	10.0	10
1443	10.0	10
1444	11.0	11
1445	9.0	9
1446	10.0	10
1447	10.0	10
1448	10.0	10
1449	8.0	8
1450	10.0	10
1451	9.0	9
1452	9.0	9
1453	9.0	9
1454	8.0	8
1455	10.0	10
1456	10.0	10
1457	9.0	9
1458	9.0	9
1459	10.0	10
1460	9.0	9
1461	9.0	9
1462	10.0	10
1463	9.0	9
1464	10.0	10
1465	9.0	9
1466	9.0	9
1467	9.0	9
1468	9.0	9
1469	8.0	8
1470	10.0	10
1471	9.0	9
1472	11.0	11
1473	10.0	10
1474	9.0	9
1475	10.0	10
1476	10.0	10
1477	10.0	10
1478	10.0	10
1479	9.0	9
1480	9.0	9
1481	11.0	11
1482	9.0	9
1483	9.0	9
1484	10.0	10
1485	9.0	9
1486	10.0	10
1487	10.0	10
1488	10.0	10
1489	10.0	10
1490	10.0	10
1491	9.0	9
1492	8.0	8
1493	11.0	11
1494	9.0	9
1495	9.0	9
1496	9.0	9
1497	9.0	9
1498	9.0	9
1499	10.0	10
1500	10.0	10
1501	11.0	11
1502	11.0	11
1503	9.0	9
1504	9.0	9
1505	10.0	10
1506	10.0	10
1507	9.0	9
1508	11.0	11
1509	9.0	9
1510	11.0	11
1511	10.0	10
1512	8.0	8
1513	9.0	9
1514	10.0	10
1515	9.0	9
1516	10.0	10
1517	9.0	9
1518	8.0	8
1519	10.0	10
1520	8.0	8
1521	9.0	9
1522	9.0	9
1523	10.0	10
1524	8.0	8
1525	8.0	8
1526	9.0	9
1527	10.0	10
1528	10.0	10
1529	11.0	11
1530	9.0	9
1531	10.0	10
1532	10.0	10
1533	9.0	9
1534	9.0	9
1535	8.0	8
1536	9.0	9
1537	9.0	9
1538	10.0	10
1539	9.0	9
1540	9.0	9
1541	9.0	9
1542	9.0	9
1543	10.0	10
1544	10.0	10
1545	9.0	9
1546	9.0	9
1547	10.0	10
1548	9.0	9
1549	10.0	10
1550	9.0	9
1551	10.0	10
1552	10.0	10
1553	11.0	11
1554	9.0	9
1555	9.0	9
1556	9.0	9
1557	10.0	10
1558	9.0	9
1559	10.0	10
1560	9.0	9
1561	8.0	8
1562	9.0	9
1563	9.0	9
1564	10.0	10
1565	9.0	9
1566	9.0	9
1567	9.0	9
1568	9.0	9
1569	10.0	10
1570	8.0	8
1571	8.0	8
1572	8.0	8
1573	10.0	10
1574	11.0	11
1575	9.0	9
1576	9.0	9
1577	8.0	8
